"organism","number"
"Pseudomonas alkylphenolica","Multiple"
"Pseudomonas alkylphenolica","Multiple"
"Pseudomonas anguilliseptica","Multiple"
"Pseudomonas anguilliseptica","Multiple"
"Pseudomonas arsenicoxydans","Multiple"
"Pseudomonas arsenicoxydans","Multiple"
"Pseudomonas baetica","Multiple"
"Pseudomonas baetica","Multiple"
"Pseudomonas brassicacearum","Multiple"
"Pseudomonas brassicacearum","Multiple"
"Pseudomonas brassicacearum subsp. brassicacearum NFM421","Multiple"
"Pseudomonas brassicacearum subsp. brassicacearum NFM421","Multiple"
"Pseudomonas brenneri","Multiple"
"Pseudomonas brenneri","Multiple"
"Pseudomonas chlororaphis","Multiple"
"Pseudomonas chlororaphis","Multiple"
"Pseudomonas chlororaphis O6","Multiple"
"Pseudomonas chlororaphis O6","Multiple"
"Pseudomonas chlororaphis subsp. aurantiaca","Multiple"
"Pseudomonas chlororaphis subsp. aurantiaca","Multiple"
"Pseudomonas chlororaphis subsp. aureofaciens","Multiple"
"Pseudomonas chlororaphis subsp. aureofaciens","Multiple"
"Pseudomonas chlororaphis subsp. aureofaciens 30-84","Multiple"
"Pseudomonas chlororaphis subsp. aureofaciens 30-84","Multiple"
"Pseudomonas chlororaphis subsp. chlororaphis","Multiple"
"Pseudomonas chlororaphis subsp. chlororaphis","Multiple"
"Pseudomonas chlororaphis subsp. piscium","Multiple"
"Pseudomonas chlororaphis subsp. piscium","Multiple"
"Pseudomonas citronellolis","Multiple"
"Pseudomonas citronellolis","Multiple"
"Pseudomonas citronellolis","Multiple"
"Pseudomonas corrugata","Multiple"
"Pseudomonas corrugata","Multiple"
"Pseudomonas corrugata","Multiple"
"Pseudomonas entomophila L48","Multiple"
"Pseudomonas entomophila L48","Multiple"
"Pseudomonas fluorescens F113","Multiple"
"Pseudomonas fluorescens F113","Multiple"
"Pseudomonas fluorescens Pf0-1","Multiple"
"Pseudomonas fluorescens Pf0-1","Multiple"
"Pseudomonas fluorescens R124","Multiple"
"Pseudomonas fluorescens R124","Multiple"
"Pseudomonas furukawaii","Multiple"
"Pseudomonas furukawaii","Multiple"
"Pseudomonas gessardii","Multiple"
"Pseudomonas gessardii","Multiple"
"Pseudomonas granadensis","Multiple"
"Pseudomonas granadensis","Multiple"
"Pseudomonas helmanticensis","Multiple"
"Pseudomonas helmanticensis","Multiple"
"Pseudomonas jessenii","Multiple"
"Pseudomonas jessenii","Multiple"
"Pseudomonas kilonensis","Multiple"
"Pseudomonas kilonensis","Multiple"
"Pseudomonas koreensis","Multiple"
"Pseudomonas koreensis","Multiple"
"Pseudomonas kribbensis","Multiple"
"Pseudomonas kribbensis","Multiple"
"Pseudomonas mediterranea","Multiple"
"Pseudomonas mediterranea","Multiple"
"Pseudomonas mendocina","Multiple"
"Pseudomonas mendocina","Multiple"
"Pseudomonas mendocina NK-01","Multiple"
"Pseudomonas mendocina NK-01","Multiple"
"Pseudomonas moorei","Multiple"
"Pseudomonas moorei","Multiple"
"Pseudomonas moraviensis","Multiple"
